region,timestamp,traffic_gbps,active_users,peak_utilization_percent
US-SOUTH-01,2026-07-21 10:00:00,516.0,57167,80
EMEA-WEST,2026-07-29 09:30:00,869.9,99306,90
ASIA-PAC,2026-07-27 00:15:00,538.0,29691,80
US-WEST-01,2026-07-10 15:00:00,778.9,144567,90
ASIA-SOUTH,2026-07-10 11:45:00,477.0,54464,60
US-EAST-01,2026-07-23 01:30:00,307.3,151251,81
EMEA-WEST,2026-07-31 20:30:00,501.7,21377,80
ASIA-PAC,2026-07-31 11:00:00,1042.0,41507,90
EMEA-WEST,2026-07-22 07:45:00,254.9,175594,81
US-SOUTH-01,2026-07-29 05:00:00,408.9,178467,70
US-WEST-01,2026-07-23 08:00:00,293.2,37651,84
EMEA-EAST,2026-07-29 01:15:00,479.6,160684,79
ASIA-PAC,2026-07-13 04:45:00,611.1,39450,80
ASIA-PAC,2026-07-27 00:15:00,581.7,27519,80
ASIA-PAC,2026-07-29 22:45:00,1086.8,114850,92
US-EAST-01,2026-07-23 04:30:00,557.6,128533,80
EMEA-EAST,2026-07-11 03:45:00,296.4,48338,96
ASIA-PAC,2026-07-16 10:15:00,348.8,141516,75
US-SOUTH-01,2026-07-17 07:45:00,934.3,58794,90
US-EAST-01,2026-07-14 11:30:00,478.5,98965,78
EMEA-WEST,2026-07-16 05:00:00,616.1,35948,82
EMEA-WEST,2026-07-17 02:00:00,568.1,131519,80
ASIA-PAC,2026-07-19 16:30:00,574.2,78496,84
EMEA-EAST,2026-07-12 05:15:00,799.0,64197,90
ASIA-SOUTH,2026-07-28 23:15:00,773.5,164303,90
US-SOUTH-01,2026-07-14 16:15:00,609.1,173084,80
US-EAST-01,2026-07-29 16:30:00,430.9,72439,67
ASIA-PAC,2026-07-22 03:45:00,488.7,92023,85
ASIA-PAC,2026-07-17 16:15:00,567.6,43087,84
US-EAST-01,2026-07-20 23:00:00,289.6,137301,94
EMEA-EAST,2026-07-26 23:45:00,446.5,154291,86
US-WEST-01,2026-07-19 21:15:00,743.8,53814,90
ASIA-PAC,2026-07-18 15:45:00,469.4,185855,73
US-EAST-01,2026-07-22 03:15:00,772.5,44089,95
EMEA-WEST,2026-07-16 13:15:00,867.8,26617,90
EMEA-EAST,2026-07-13 14:30:00,686.2,21883,88
US-SOUTH-01,2026-07-26 07:30:00,735.6,79074,90
ASIA-PAC,2026-07-30 00:45:00,465.5,50724,62
US-WEST-01,2026-07-31 08:30:00,355.2,39929,60
US-SOUTH-01,2026-07-29 15:45:00,794.6,165918,90
US-EAST-01,2026-07-13 18:15:00,708.4,59748,90
US-WEST-01,2026-07-16 11:15:00,722.4,52650,95
ASIA-PAC,2026-07-18 00:00:00,888.7,179404,90
US-SOUTH-01,2026-07-29 14:45:00,582.1,171842,83
ASIA-SOUTH,2026-07-20 12:45:00,356.1,102328,67
US-SOUTH-01,2026-07-25 12:00:00,615.3,161209,80
US-WEST-01,2026-07-29 12:45:00,433.9,68144,83
ASIA-PAC,2026-07-24 13:30:00,996.7,49834,90
US-SOUTH-01,2026-07-30 08:15:00,699.2,98976,80
EMEA-WEST,2026-07-13 06:15:00,341.9,143462,64
EMEA-EAST,2026-07-25 12:15:00,774.5,102972,90
US-WEST-01,2026-07-31 19:15:00,146.7,142220,56
ASIA-PAC,2026-07-11 03:30:00,608.2,162517,80
US-WEST-01,2026-07-21 19:15:00,780.5,22555,90
US-EAST-01,2026-07-28 04:15:00,626.8,108888,92
EMEA-WEST,2026-07-13 01:15:00,526.7,176120,91
US-EAST-01,2026-07-20 05:00:00,456.1,100806,93
ASIA-PAC,2026-07-12 05:00:00,524.0,64026,80
US-EAST-01,2026-07-23 23:30:00,725.3,113407,90
US-EAST-01,2026-07-24 15:15:00,540.1,154379,94
ASIA-PAC,2026-07-17 10:45:00,851.1,78763,90
US-EAST-01,2026-07-25 11:30:00,732.9,35655,90
ASIA-PAC,2026-07-10 11:15:00,818.9,128864,90
US-SOUTH-01,2026-07-13 14:30:00,337.3,182763,97
EMEA-WEST,2026-07-24 16:45:00,248.1,39816,53
US-EAST-01,2026-07-10 00:00:00,725.3,30697,90
EMEA-WEST,2026-07-28 10:45:00,470.0,74495,57
ASIA-PAC,2026-07-20 16:15:00,898.9,164227,90
US-EAST-01,2026-07-29 16:15:00,754.0,105267,96
ASIA-SOUTH,2026-07-15 15:00:00,718.5,82032,90
US-SOUTH-01,2026-07-18 21:30:00,707.9,71547,90
US-EAST-01,2026-07-10 08:00:00,281.8,138394,87
ASIA-PAC,2026-07-25 23:00:00,892.9,78286,90
EMEA-EAST,2026-07-29 13:15:00,741.2,81283,94
US-SOUTH-01,2026-07-19 23:15:00,579.9,27023,80
US-EAST-01,2026-07-24 00:45:00,570.9,101790,80
US-WEST-01,2026-07-19 18:00:00,300.4,68476,58
ASIA-PAC,2026-07-13 15:30:00,845.2,25666,95
US-EAST-01,2026-07-21 00:30:00,861.2,93439,90
ASIA-PAC,2026-07-30 23:15:00,703.6,43009,90
US-EAST-01,2026-07-24 12:15:00,897.9,91630,93
US-SOUTH-01,2026-07-14 22:15:00,250.1,49036,94
ASIA-PAC,2026-07-13 17:15:00,657.3,174249,93
US-SOUTH-01,2026-07-28 14:45:00,410.3,71554,58
ASIA-SOUTH,2026-07-15 21:15:00,280.2,171974,93
EMEA-EAST,2026-07-18 06:00:00,437.4,42371,88
ASIA-SOUTH,2026-07-31 11:30:00,807.7,31542,90
ASIA-PAC,2026-07-21 03:30:00,401.0,53909,53
US-EAST-01,2026-07-17 23:15:00,827.8,88047,90
US-EAST-01,2026-07-11 18:45:00,159.6,162378,55
US-SOUTH-01,2026-07-24 03:45:00,531.3,179638,88
EMEA-EAST,2026-07-25 01:00:00,479.0,154102,67
ASIA-PAC,2026-07-13 10:15:00,599.8,107619,80
ASIA-PAC,2026-07-15 17:30:00,828.9,119715,90
ASIA-SOUTH,2026-07-10 22:30:00,141.7,163693,57
US-EAST-01,2026-07-30 09:15:00,793.7,64496,90
US-EAST-01,2026-07-24 19:45:00,546.1,61408,80
ASIA-PAC,2026-07-16 11:30:00,1038.2,31136,90
ASIA-SOUTH,2026-07-26 18:45:00,576.6,78399,80
US-SOUTH-01,2026-07-21 04:15:00,595.0,49017,80
ASIA-SOUTH,2026-07-15 07:00:00,683.3,23577,84
EMEA-EAST,2026-07-31 04:00:00,571.2,163984,80
ASIA-PAC,2026-07-23 23:00:00,1064.7,54995,90
US-EAST-01,2026-07-11 16:30:00,824.3,163204,90
US-WEST-01,2026-07-23 16:45:00,314.4,160276,63
ASIA-PAC,2026-07-22 03:30:00,337.1,75988,48
EMEA-WEST,2026-07-24 10:00:00,648.0,95118,80
ASIA-PAC,2026-07-13 06:00:00,947.0,163347,90
US-SOUTH-01,2026-07-30 23:15:00,420.8,102080,73
US-SOUTH-01,2026-07-15 10:00:00,588.3,99897,80
US-EAST-01,2026-07-15 23:15:00,679.7,75541,80
US-WEST-01,2026-07-23 13:15:00,213.8,59404,70
ASIA-PAC,2026-07-15 06:45:00,971.7,158966,90
ASIA-PAC,2026-07-13 12:30:00,506.8,29079,81
US-SOUTH-01,2026-07-14 03:00:00,265.2,75708,67
US-SOUTH-01,2026-07-23 18:45:00,633.5,46204,80
EMEA-WEST,2026-07-26 18:15:00,821.6,23914,90
ASIA-PAC,2026-07-31 23:45:00,558.2,106125,80
EMEA-WEST,2026-07-26 09:30:00,151.8,115294,68
US-SOUTH-01,2026-07-15 14:30:00,443.4,163420,95
US-SOUTH-01,2026-07-24 03:15:00,342.1,61007,57
EMEA-EAST,2026-07-13 15:00:00,876.5,109056,90
ASIA-PAC,2026-07-10 09:30:00,510.8,167230,80
ASIA-PAC,2026-07-13 12:45:00,336.0,106590,99
US-EAST-01,2026-07-11 12:45:00,748.9,150928,90
US-WEST-01,2026-07-22 09:15:00,369.0,20940,75
US-SOUTH-01,2026-07-28 02:00:00,1043.7,54710,96
ASIA-PAC,2026-07-18 10:00:00,823.6,25782,90
ASIA-PAC,2026-07-29 20:00:00,766.2,115832,90
ASIA-PAC,2026-07-22 10:45:00,310.4,136764,92
EMEA-EAST,2026-07-29 09:00:00,191.5,179282,50
US-EAST-01,2026-07-16 03:15:00,873.0,178265,90
ASIA-PAC,2026-07-17 03:00:00,849.0,69277,90
EMEA-WEST,2026-07-20 04:15:00,504.8,92831,94
EMEA-WEST,2026-07-15 13:30:00,222.2,178196,70
US-SOUTH-01,2026-07-11 05:45:00,699.0,157577,80
US-WEST-01,2026-07-20 23:45:00,791.2,95246,98
ASIA-PAC,2026-07-26 19:45:00,590.7,76240,97
US-EAST-01,2026-07-16 21:30:00,325.4,82660,70
EMEA-WEST,2026-07-31 08:15:00,618.7,71137,96
US-WEST-01,2026-07-12 09:15:00,672.5,177804,80
US-WEST-01,2026-07-17 20:30:00,887.3,63493,90
ASIA-PAC,2026-07-24 23:45:00,1013.7,67363,90
US-SOUTH-01,2026-07-13 12:45:00,875.1,35702,90
US-SOUTH-01,2026-07-16 18:00:00,887.2,119688,90
US-EAST-01,2026-07-22 03:00:00,167.7,76001,56
US-SOUTH-01,2026-07-14 05:45:00,1002.5,32330,90
ASIA-PAC,2026-07-13 01:30:00,521.0,78385,84
ASIA-PAC,2026-07-23 21:15:00,712.7,107394,90
EMEA-WEST,2026-07-19 07:45:00,743.6,125237,90
EMEA-EAST,2026-07-22 19:30:00,895.6,77739,90
ASIA-PAC,2026-07-23 08:15:00,879.0,154682,90
ASIA-PAC,2026-07-19 13:00:00,577.9,170158,88
US-SOUTH-01,2026-07-16 07:30:00,636.6,164324,95
ASIA-PAC,2026-07-14 23:30:00,995.7,22030,90
EMEA-EAST,2026-07-30 18:30:00,807.3,110663,93
US-EAST-01,2026-07-25 19:15:00,856.3,34662,90
ASIA-PAC,2026-07-23 04:45:00,622.4,77778,80
EMEA-EAST,2026-07-12 21:30:00,179.3,160041,70
US-EAST-01,2026-07-31 19:15:00,501.5,36351,80
EMEA-EAST,2026-07-12 06:45:00,756.9,86377,90
EMEA-EAST,2026-07-14 15:15:00,397.4,171070,98
ASIA-PAC,2026-07-12 19:45:00,840.6,46003,90
EMEA-WEST,2026-07-13 06:15:00,777.3,35585,94
EMEA-EAST,2026-07-31 07:45:00,578.4,49486,80
US-EAST-01,2026-07-15 00:45:00,574.3,174771,82
US-EAST-01,2026-07-28 00:15:00,253.0,104147,76
ASIA-PAC,2026-07-27 05:15:00,715.1,55440,92
ASIA-SOUTH,2026-07-18 16:15:00,800.7,20924,90
EMEA-EAST,2026-07-23 07:00:00,883.2,104765,93
US-WEST-01,2026-07-10 03:00:00,206.2,148409,70
US-SOUTH-01,2026-07-14 11:15:00,528.1,52554,80
ASIA-PAC,2026-07-20 12:15:00,946.8,180663,90
US-EAST-01,2026-07-29 13:30:00,790.2,129820,90
ASIA-SOUTH,2026-07-16 21:30:00,763.7,139888,98
EMEA-EAST,2026-07-13 12:00:00,415.3,92207,54
EMEA-WEST,2026-07-21 17:15:00,827.8,25302,90
ASIA-PAC,2026-07-27 01:45:00,946.8,193952,90
EMEA-EAST,2026-07-25 23:45:00,453.7,124690,88
ASIA-SOUTH,2026-07-23 16:00:00,284.5,173528,71
US-EAST-01,2026-07-14 10:15:00,844.2,177320,90
EMEA-WEST,2026-07-20 15:30:00,526.1,76995,80
ASIA-PAC,2026-07-20 18:45:00,451.2,196975,81
US-EAST-01,2026-07-22 23:00:00,686.2,72187,80
US-WEST-01,2026-07-20 00:00:00,379.5,66132,60
ASIA-PAC,2026-07-11 12:00:00,258.9,145442,91
EMEA-WEST,2026-07-30 09:15:00,740.5,142652,90
ASIA-PAC,2026-07-13 06:45:00,406.2,162225,58
EMEA-EAST,2026-07-13 21:00:00,723.6,122323,90
US-SOUTH-01,2026-07-22 17:45:00,908.5,143252,90
US-WEST-01,2026-07-28 11:15:00,625.7,49637,98
ASIA-PAC,2026-07-10 21:00:00,590.8,179964,80
ASIA-PAC,2026-07-21 20:00:00,740.6,181042,90
US-WEST-01,2026-07-18 07:30:00,835.8,20404,90
US-EAST-01,2026-07-19 12:45:00,496.1,127598,69
ASIA-SOUTH,2026-07-20 08:00:00,498.1,114787,60
ASIA-PAC,2026-07-27 05:00:00,828.3,32251,90
ASIA-PAC,2026-07-26 20:00:00,568.4,135253,92
US-SOUTH-01,2026-07-22 06:00:00,584.4,85639,80
US-WEST-01,2026-07-10 15:00:00,453.5,150715,69
US-EAST-01,2026-07-28 17:45:00,848.1,121208,90
US-EAST-01,2026-07-27 08:00:00,759.7,105140,90
ASIA-PAC,2026-07-19 00:30:00,457.7,25869,65
ASIA-SOUTH,2026-07-17 05:15:00,266.4,162733,72
US-WEST-01,2026-07-30 21:00:00,718.7,171839,90
EMEA-EAST,2026-07-10 09:00:00,328.5,91132,73
US-SOUTH-01,2026-07-24 10:15:00,574.5,73202,80
ASIA-PAC,2026-07-22 21:00:00,441.4,127387,68
US-EAST-01,2026-07-10 04:30:00,205.7,97547,51
US-WEST-01,2026-07-31 18:45:00,769.0,164998,90
US-SOUTH-01,2026-07-15 20:00:00,564.6,172467,80
EMEA-WEST,2026-07-10 03:45:00,772.2,57695,93
ASIA-PAC,2026-07-28 07:30:00,825.0,171945,90
EMEA-EAST,2026-07-28 16:00:00,737.4,82684,90
US-SOUTH-01,2026-07-18 09:45:00,624.1,48519,90
US-EAST-01,2026-07-26 05:30:00,864.4,165423,91
US-SOUTH-01,2026-07-26 00:45:00,976.7,66100,90
ASIA-PAC,2026-07-14 14:15:00,408.4,181407,61
ASIA-SOUTH,2026-07-30 04:45:00,554.6,116617,80
EMEA-EAST,2026-07-22 16:00:00,561.8,85339,80
US-EAST-01,2026-07-30 18:45:00,266.2,32490,70
US-EAST-01,2026-07-30 18:30:00,685.7,153122,80
ASIA-PAC,2026-07-11 22:00:00,809.6,88266,90
EMEA-EAST,2026-07-21 05:45:00,148.5,47218,59
ASIA-SOUTH,2026-07-23 17:15:00,686.5,90127,87
US-SOUTH-01,2026-07-17 21:45:00,845.5,57186,90
ASIA-SOUTH,2026-07-28 10:45:00,420.3,89766,54
ASIA-PAC,2026-07-16 13:30:00,912.5,169391,90
EMEA-EAST,2026-07-12 13:00:00,359.6,30863,91
US-EAST-01,2026-07-17 21:00:00,847.6,126468,90
EMEA-EAST,2026-07-17 02:30:00,761.6,48818,91
US-EAST-01,2026-07-28 18:00:00,372.0,164852,70
ASIA-PAC,2026-07-11 01:00:00,910.4,114738,90
US-SOUTH-01,2026-07-12 14:00:00,261.4,45366,86
US-SOUTH-01,2026-07-22 02:15:00,850.0,32309,94
US-WEST-01,2026-07-24 23:00:00,534.2,135046,80
US-EAST-01,2026-07-12 09:30:00,335.0,78924,77
ASIA-PAC,2026-07-19 02:00:00,782.0,135020,90
EMEA-WEST,2026-07-22 16:45:00,128.8,165854,66
ASIA-PAC,2026-07-25 10:30:00,614.5,64403,80
US-SOUTH-01,2026-07-26 02:15:00,307.3,91025,94
ASIA-PAC,2026-07-18 22:00:00,593.8,51521,80
ASIA-PAC,2026-07-16 18:00:00,752.8,132126,90
US-EAST-01,2026-07-27 15:30:00,482.7,175782,68
EMEA-EAST,2026-07-21 02:00:00,531.7,132309,80
ASIA-SOUTH,2026-07-30 11:45:00,565.5,106978,85
US-EAST-01,2026-07-20 14:30:00,517.4,112180,89
ASIA-PAC,2026-07-18 02:00:00,626.3,46295,80
US-SOUTH-01,2026-07-30 21:45:00,348.0,37178,53
EMEA-WEST,2026-07-28 10:30:00,453.4,31332,74
US-EAST-01,2026-07-21 13:00:00,889.3,152168,90
EMEA-WEST,2026-07-17 09:00:00,255.0,131117,94
ASIA-PAC,2026-07-28 22:30:00,906.1,92263,90
ASIA-SOUTH,2026-07-12 07:45:00,667.7,79312,80
EMEA-EAST,2026-07-21 01:45:00,180.6,38414,52
US-SOUTH-01,2026-07-29 04:00:00,660.4,154167,86
US-WEST-01,2026-07-15 06:45:00,466.8,170243,76
ASIA-PAC,2026-07-12 13:15:00,686.8,93716,82
US-SOUTH-01,2026-07-22 07:30:00,521.0,123254,80
US-SOUTH-01,2026-07-16 11:00:00,400.8,137369,52
US-EAST-01,2026-07-29 23:15:00,633.2,115823,80
US-SOUTH-01,2026-07-30 19:15:00,952.6,86339,90
ASIA-PAC,2026-07-18 18:15:00,250.6,28776,75
ASIA-PAC,2026-07-23 04:30:00,236.2,98457,70
US-EAST-01,2026-07-18 09:00:00,340.9,136065,80
EMEA-WEST,2026-07-14 18:15:00,665.3,170404,92
EMEA-EAST,2026-07-17 10:00:00,864.9,160099,90
ASIA-PAC,2026-07-22 17:15:00,475.1,60116,82
ASIA-SOUTH,2026-07-24 06:15:00,820.5,37315,90
US-WEST-01,2026-07-11 07:00:00,159.3,138604,68
US-SOUTH-01,2026-07-19 00:15:00,828.9,163800,90
US-EAST-01,2026-07-11 11:00:00,754.9,103857,96
ASIA-PAC,2026-07-21 12:45:00,656.8,127412,98
US-EAST-01,2026-07-24 18:00:00,199.5,177687,70
ASIA-PAC,2026-07-11 14:00:00,671.1,96964,88
ASIA-PAC,2026-07-15 17:30:00,285.4,69358,49
ASIA-PAC,2026-07-13 06:30:00,356.3,25081,95
ASIA-PAC,2026-07-28 23:45:00,940.5,65346,90
US-EAST-01,2026-07-25 05:45:00,806.2,59406,90
US-SOUTH-01,2026-07-18 18:00:00,750.4,65525,90
US-EAST-01,2026-07-15 07:00:00,761.2,140660,94
US-SOUTH-01,2026-07-11 01:15:00,260.3,97471,93
ASIA-PAC,2026-07-19 11:15:00,962.4,67581,90
EMEA-WEST,2026-07-24 14:15:00,734.5,126236,93
US-EAST-01,2026-07-27 05:15:00,370.7,138887,92
US-EAST-01,2026-07-15 02:30:00,367.6,62028,98
ASIA-SOUTH,2026-07-12 02:00:00,301.9,109373,58
ASIA-PAC,2026-07-16 02:15:00,671.4,163534,90
US-SOUTH-01,2026-07-13 02:00:00,822.8,34926,90
US-WEST-01,2026-07-16 00:00:00,670.0,50290,80
US-WEST-01,2026-07-13 05:15:00,488.4,167764,99
EMEA-WEST,2026-07-22 15:45:00,433.4,34790,70
ASIA-PAC,2026-07-23 06:15:00,838.8,77112,90
EMEA-EAST,2026-07-27 22:30:00,717.5,45210,90
EMEA-WEST,2026-07-30 14:45:00,249.7,40056,48
US-SOUTH-01,2026-07-25 08:15:00,848.0,176002,90
EMEA-WEST,2026-07-21 12:45:00,436.6,37111,65
ASIA-PAC,2026-07-30 07:45:00,501.1,179318,80
US-EAST-01,2026-07-25 09:15:00,320.1,97883,98
US-EAST-01,2026-07-16 18:15:00,228.6,130695,70
EMEA-WEST,2026-07-22 12:30:00,611.0,95841,80
ASIA-PAC,2026-07-17 02:45:00,716.6,163577,90
ASIA-PAC,2026-07-30 10:15:00,684.1,96060,80
EMEA-EAST,2026-07-12 00:15:00,234.3,88493,70
EMEA-WEST,2026-07-12 22:45:00,350.9,144081,98
ASIA-PAC,2026-07-17 07:30:00,799.5,108242,90
US-EAST-01,2026-07-25 07:45:00,828.6,110017,90
ASIA-PAC,2026-07-31 21:15:00,919.1,117211,90
ASIA-SOUTH,2026-07-21 03:00:00,391.1,155699,68
ASIA-PAC,2026-07-20 14:15:00,470.7,159425,52
US-SOUTH-01,2026-07-18 09:30:00,415.5,58645,86
EMEA-WEST,2026-07-11 06:15:00,222.7,121094,59
ASIA-PAC,2026-07-30 09:30:00,896.1,166199,90
US-EAST-01,2026-07-20 11:45:00,311.2,140134,45
ASIA-PAC,2026-07-21 01:45:00,1074.1,111390,90
US-SOUTH-01,2026-07-16 00:00:00,549.0,48781,82
ASIA-SOUTH,2026-07-21 20:45:00,320.9,74829,85
ASIA-PAC,2026-07-13 05:45:00,1013.5,197228,90
US-EAST-01,2026-07-27 14:30:00,364.4,52027,63
EMEA-EAST,2026-07-23 10:00:00,753.4,87692,90
US-EAST-01,2026-07-13 04:00:00,818.7,151313,90
ASIA-SOUTH,2026-07-25 22:00:00,888.4,125167,98
ASIA-PAC,2026-07-16 12:15:00,440.2,194195,53
EMEA-WEST,2026-07-26 16:00:00,681.7,97445,80
US-SOUTH-01,2026-07-28 13:30:00,426.1,80004,91
US-EAST-01,2026-07-29 19:45:00,225.9,172491,56
US-SOUTH-01,2026-07-28 11:30:00,379.1,164492,66
ASIA-PAC,2026-07-26 17:15:00,326.0,57911,48
EMEA-EAST,2026-07-11 01:45:00,321.0,84390,89
US-SOUTH-01,2026-07-23 22:15:00,497.7,81027,72
ASIA-SOUTH,2026-07-17 03:00:00,158.8,38512,70
EMEA-WEST,2026-07-13 15:30:00,562.5,133126,80
ASIA-PAC,2026-07-23 13:15:00,695.4,48767,90
US-SOUTH-01,2026-07-13 14:15:00,709.4,70968,90
US-EAST-01,2026-07-21 10:45:00,525.1,128642,80
US-SOUTH-01,2026-07-14 09:15:00,519.2,147168,80
US-WEST-01,2026-07-15 05:45:00,215.0,94095,47
ASIA-PAC,2026-07-20 16:00:00,254.5,69303,58
ASIA-PAC,2026-07-16 08:15:00,267.1,195337,45
ASIA-PAC,2026-07-25 03:45:00,554.8,105037,80
ASIA-SOUTH,2026-07-22 11:15:00,243.6,85421,70
US-EAST-01,2026-07-18 09:30:00,702.3,57966,95
ASIA-PAC,2026-07-21 07:45:00,777.7,154085,90
US-WEST-01,2026-07-17 20:45:00,597.9,42259,92
US-WEST-01,2026-07-18 00:00:00,779.0,124666,90
ASIA-PAC,2026-07-11 17:30:00,370.6,22693,59
ASIA-SOUTH,2026-07-20 20:00:00,581.0,20898,95
ASIA-PAC,2026-07-12 01:15:00,441.8,124517,78
US-EAST-01,2026-07-13 06:00:00,438.8,105404,67
ASIA-SOUTH,2026-07-21 18:15:00,176.2,54302,70
US-SOUTH-01,2026-07-23 00:15:00,519.4,80000,90
US-SOUTH-01,2026-07-19 05:45:00,410.8,98277,55
ASIA-PAC,2026-07-26 17:45:00,1080.6,177716,90
US-EAST-01,2026-07-24 11:45:00,283.1,142741,81
ASIA-PAC,2026-07-14 22:00:00,861.3,92862,90
US-EAST-01,2026-07-27 06:30:00,295.8,127929,58
ASIA-PAC,2026-07-12 16:30:00,746.3,110715,90
ASIA-PAC,2026-07-29 06:15:00,386.6,183473,66
EMEA-WEST,2026-07-21 03:15:00,613.2,32629,80
US-WEST-01,2026-07-29 00:15:00,849.4,100770,90
US-SOUTH-01,2026-07-25 21:30:00,237.3,117634,70
ASIA-SOUTH,2026-07-25 12:00:00,806.0,150327,90
ASIA-PAC,2026-07-24 16:45:00,359.0,113534,76
EMEA-EAST,2026-07-11 11:45:00,507.1,22372,88
EMEA-EAST,2026-07-27 05:30:00,426.3,93549,94
US-EAST-01,2026-07-27 17:15:00,423.0,81773,54
US-EAST-01,2026-07-11 14:30:00,542.0,174213,80
ASIA-PAC,2026-07-22 15:45:00,537.5,187492,89
US-WEST-01,2026-07-14 10:30:00,240.5,163822,70
US-EAST-01,2026-07-26 00:15:00,324.8,169344,92
EMEA-EAST,2026-07-28 00:45:00,463.3,90568,51
US-EAST-01,2026-07-12 15:45:00,265.2,177034,53
ASIA-PAC,2026-07-23 07:00:00,755.3,51695,94
EMEA-WEST,2026-07-23 03:00:00,648.9,126861,92
EMEA-WEST,2026-07-22 23:30:00,763.1,92039,90
ASIA-PAC,2026-07-22 16:00:00,436.6,33250,55
US-EAST-01,2026-07-20 11:30:00,809.8,75845,90
ASIA-PAC,2026-07-12 22:00:00,722.5,173071,90
US-SOUTH-01,2026-07-29 02:15:00,498.3,78480,50
EMEA-WEST,2026-07-17 09:30:00,149.6,151396,66
US-SOUTH-01,2026-07-13 19:15:00,798.2,153057,90
US-EAST-01,2026-07-24 14:45:00,769.9,30597,90
ASIA-PAC,2026-07-26 10:30:00,562.2,66676,87
US-EAST-01,2026-07-25 03:15:00,714.2,128732,90
US-SOUTH-01,2026-07-27 06:30:00,735.5,159186,90
EMEA-EAST,2026-07-16 20:30:00,120.7,52587,70
EMEA-EAST,2026-07-18 00:15:00,738.9,175875,90
ASIA-PAC,2026-07-29 22:45:00,356.8,92606,81
US-WEST-01,2026-07-28 10:00:00,842.2,35409,90
US-SOUTH-01,2026-07-14 12:30:00,866.7,155226,90
US-EAST-01,2026-07-15 04:00:00,718.2,138505,90
US-EAST-01,2026-07-25 07:45:00,511.3,38118,80
ASIA-PAC,2026-07-12 16:15:00,851.5,22496,90
US-SOUTH-01,2026-07-12 22:00:00,815.2,26347,90
ASIA-SOUTH,2026-07-13 04:30:00,734.5,112179,90
US-SOUTH-01,2026-07-18 08:00:00,235.9,138537,70
US-SOUTH-01,2026-07-12 10:45:00,718.3,190120,90
ASIA-PAC,2026-07-17 12:00:00,450.4,124524,89
US-SOUTH-01,2026-07-30 03:45:00,577.9,168726,80
EMEA-EAST,2026-07-24 05:45:00,809.1,92366,90
US-WEST-01,2026-07-15 02:15:00,769.0,105543,90
US-SOUTH-01,2026-07-13 22:45:00,361.6,158247,59
ASIA-PAC,2026-07-21 14:00:00,805.0,126228,95
US-WEST-01,2026-07-23 01:15:00,491.7,143760,81
US-EAST-01,2026-07-29 09:00:00,204.5,69272,50
US-SOUTH-01,2026-07-17 23:45:00,324.2,171549,94
EMEA-EAST,2026-07-14 07:45:00,255.8,55213,48
ASIA-PAC,2026-07-18 14:30:00,721.7,23916,90
EMEA-EAST,2026-07-19 06:30:00,258.6,133947,55
ASIA-SOUTH,2026-07-10 18:15:00,797.5,128398,90
US-WEST-01,2026-07-21 14:45:00,213.3,106611,52
US-EAST-01,2026-07-11 22:15:00,615.8,134599,80
ASIA-PAC,2026-07-28 04:45:00,310.5,171444,52
US-WEST-01,2026-07-29 04:45:00,745.5,22582,92
US-SOUTH-01,2026-07-15 16:45:00,896.5,114609,92
EMEA-EAST,2026-07-19 14:00:00,559.8,87306,80
ASIA-SOUTH,2026-07-31 04:30:00,860.5,166284,90
ASIA-PAC,2026-07-12 06:00:00,803.5,174877,90
US-EAST-01,2026-07-27 12:15:00,619.2,99404,90
US-WEST-01,2026-07-19 15:45:00,221.7,76830,70
ASIA-SOUTH,2026-07-12 02:45:00,704.2,27176,90
US-SOUTH-01,2026-07-30 13:30:00,973.4,90476,90
ASIA-PAC,2026-07-10 12:30:00,688.6,190476,93
US-SOUTH-01,2026-07-14 14:30:00,1076.9,125063,90
ASIA-PAC,2026-07-27 07:30:00,530.9,173825,80
US-EAST-01,2026-07-21 10:15:00,216.4,166867,52
EMEA-EAST,2026-07-17 22:00:00,304.0,67101,77
ASIA-PAC,2026-07-27 14:45:00,382.2,96735,53
EMEA-EAST,2026-07-23 13:30:00,502.0,26469,80
US-EAST-01,2026-07-13 11:45:00,514.5,127861,98
US-WEST-01,2026-07-14 01:00:00,420.0,140558,56
ASIA-SOUTH,2026-07-12 16:45:00,361.2,71727,69
ASIA-PAC,2026-07-22 01:30:00,852.5,128200,90
US-WEST-01,2026-07-23 05:30:00,594.9,149019,80
US-EAST-01,2026-07-30 22:00:00,606.8,79419,80
ASIA-SOUTH,2026-07-18 04:30:00,408.8,84596,94
US-EAST-01,2026-07-19 11:45:00,326.1,89601,93
ASIA-PAC,2026-07-30 02:30:00,878.5,123528,90
US-SOUTH-01,2026-07-29 18:15:00,768.0,89168,90
US-EAST-01,2026-07-29 03:45:00,693.7,42699,80
ASIA-SOUTH,2026-07-15 18:15:00,808.0,50226,90
US-SOUTH-01,2026-07-16 06:00:00,745.7,26666,90
ASIA-PAC,2026-07-24 03:30:00,941.8,162304,90
EMEA-WEST,2026-07-27 05:45:00,539.6,122450,80
ASIA-SOUTH,2026-07-18 13:30:00,278.4,51605,58
EMEA-EAST,2026-07-16 10:30:00,170.1,75206,48
US-EAST-01,2026-07-23 03:00:00,764.4,173820,90
ASIA-PAC,2026-07-30 04:45:00,669.8,93287,99
EMEA-EAST,2026-07-17 23:00:00,561.8,168555,98
